1,Addam Marbrand,Marbrand
2,Aegon I Targaryen,Targaryen
3,Aemon Targaryen (Maester Aemon),Targaryen
4,Aerys II Targaryen,Targaryen
5,Aggo,null
6,Albett,null
7,Alliser Thorne,Thorne
8,Alyn,null
9,Arthur Dayne,Dayne
10,Arya Stark,Stark
11,Arys Oakheart,Oakheart
12,Balon Greyjoy,Greyjoy
13,Balon Swann,Swann
14,Barristan Selmy,Selmy
15,Benjen Stark,Stark
16,Beric Dondarrion,Dondarrion
17,Boros Blount,Blount
18,Bowen Marsh,Marsh
19,Bran Stark,Stark
20,Brandon Stark,Stark
21,Bronn,null
22,Brynden Tully,Tully
23,Catelyn Stark,Stark
24,Cayn,null
25,Cersei Lannister,Lannister
26,Chella,null
27,Chett,null
28,Chiggen,null
29,Clement Piper,Piper
30,Clydas,null
31,Cohollo,null
32,Colemon,null
33,Conn,null
34,Coratt,null
35,Daenerys Targaryen,Targaryen
36,Danwell Frey,Frey
37,Dareon,null
38,Daryn Hornwood,Hornwood
39,Desmond,null
40,Dolf,null
41,Donal Noye,Noye
42,Donnel Waynwood,Waynwood
43,Doreah,null
44,Drogo,null
45,Dywen,null
46,Eddard Stark,Stark
47,Edmure Tully,Tully
48,Eon Hunter,Hunter
49,Eroeh,null
50,Fogo,null
51,Galbart Glover,Glover
52,Gared,null
53,Gendry,null
54,Gerold Hightower,Hightower
55,Gregor Clegane,Clegane
56,Grenn,null
57,Gunthor son of Gurn,Gurn
58,Haggo,null
59,Halder,null
60,Hali,null
61,Hallis Mollen,Mollen
62,Harwin,null
63,Harys Swyft,Swyft
64,Heward,null
65,High Septon (fat one),Septon
66,Hobb,null
67,Hodor,null
68,Hosteen Frey,Frey
69,Hoster Tully,Tully
70,Howland Reed,Reed
71,Hugh,null
72,Hullen,null
73,Illyrio Mopatis,Mopatis
74,Ilyn Payne,Payne
75,Irri,null
76,Jacks,null
77,Jafer Flowers,Flowers
78,Jaime Lannister,Lannister
79,Janos Slynt,Slynt
80,Jared Frey,Frey
81,Jaremy Rykker,Rykker
82,Jeor Mormont,Mormont
83,Jeyne Poole,Poole
84,Jhiqui,null
85,Jhogo,null
86,Joffrey Baratheon,Baratheon
87,Jommo,null
88,Jon Arryn,Arryn
89,Jon Snow,Stark
90,Jon Umber (Greatjon),Umber
91,Jonos Bracken,Bracken
92,Jorah Mormont,Mormont
93,Jory Cassel,Cassel
94,Joseth,null
95,Joss,null
96,Jyck,null
97,Karyl Vance,Vance
98,Kevan Lannister,Lannister
99,Kurleket,null
100,Lancel Lannister,Lannister
101,Leo Lefford,Lefford
102,Loras Tyrell,Tyrell
103,Luwin,null
104,Lyanna Stark,Stark
105,Lyn Corbray,Corbray
106,Lysa Arryn,Arryn
107,Mace Tyrell,Tyrell
108,Maege Mormont,Mormont
109,Maegor I Targaryen,Targaryen
110,Mance Rayder,Rayder
111,Marillion,null
112,Marq Piper,Piper
113,Masha Heddle,Heddle
114,Matthar,null
115,Meryn Trant,Trant
116,Mirri Maz Duur,Duur
117,Mord,null
118,Mordane,null
119,Moreo Tumitis,Tumitis
120,Morrec,null
121,Mya Stone,Stone
122,Mycah,null
123,Mychel Redfort,Redfort
124,Myrcella Baratheon,Baratheon
125,Nan,null
126,Nestor Royce,Royce
127,Ogo,null
128,Osha,null
129,Oswell Whent,Whent
130,Othor,null
131,Paxter Redwyne,Redwyne
132,Petyr Baelish,Baelish
133,Porther,null
134,Pycelle,null
135,Pypar,null
136,Qotho,null
137,Quaro,null
138,Rakharo,null
139,Randyll Tarly,Tarly
140,Rast,null
141,Raymun Darry,Darry
142,Renly Baratheon,Baratheon
143,Rhaegar Targaryen,Targaryen
144,Rhaego,null
145,Rickard Karstark,Karstark
146,Rickard Stark,Stark
147,Rickon Stark,Stark
148,Robb Stark,Stark
149,Robert Arryn,Arryn
150,Robert Baratheon,Baratheon
151,Rodrik Cassel,Cassel
152,Roose Bolton,Bolton
153,Samwell Tarly,Tarly
154,Sandor Clegane,Clegane
155,Sansa Stark,Stark
156,Shae,null
157,Shagga,null
158,Stannis Baratheon,Baratheon
159,Stevron Frey,Frey
160,Stiv,null
161,Syrio Forel,Forel
162,Theon Greyjoy,Greyjoy
163,Thoros of Myr,Myr
164,Timett,null
165,Tobho Mott,Mott
166,Todder,null
167,Tomard,null
168,Tommen Baratheon,Baratheon
169,Torrhen Karstark,Karstark
170,Tregar,null
171,Tyrion Lannister,Lannister
172,Tytos Blackwood,Blackwood
173,Tywin Lannister,Lannister
174,Ulf son of Umar,Umar
175,Vardis Egen,Egen
176,Varly,null
177,Varys,null
178,Vayon Poole,Poole
179,Viserys Targaryen,Targaryen
180,Walder Frey,Frey
181,Waymar Royce,Royce
182,Wendel Manderly,Manderly
183,Will (prologue),null
184,Willis Wode,Wode
185,Wyl (guard),null
186,Wylla,null
187,Yoren,null
